code,registers,us_campaign,us_filed,ca_recall,ca_filed,eu_case,eu_published,eu_notifying_country,eu_reference
SVRCL025021,2,25V834,2025-12-02,2025667,2025-12-02,,,,
T1602,2,16V752,2016-10-18,2016522,2016-10-24,,,,
T1603,2,16V754,2016-10-18,2016521,2016-10-24,,,,
T1606,2,16V755,2016-10-19,2016520,2016-10-24,,,,
T2303,2,23V466,2023-07-03,2023370,2023-07-03,,,,
TIF104,2,16V692,2016-09-26,2016563,2016-11-14,,,,
TIF122,2,22V273,2022-04-22,2022206,2022-04-25,,,,
TIF124,2,22V511,2022-07-20,2022380,2022-07-20,,,,
TIF133,2,23V643,2023-09-20,2023522,2023-09-20,,,,
TIF135,2,24V036,2024-01-23,2024028,2024-01-23,,,,
TIF138,2,24V260,2024-04-11,2024216,2024-04-11,,,,
TIF141,2,24V566,2024-07-30,2024436,2024-07-30,,,,
TIF149,2,26V412,,2026314,2026-06-29,,,,
TK202301,2,23V578,2023-08-14,2023544,2023-10-06,,,,
TK202402,2,24V866,2024-11-18,2024699,2024-11-18,,,,
TKC16,2,16V361,2016-05-25,2016257,2016-05-25,,,,
TSB30032401,2,24V499,2024-07-02,2024382,2024-07-02,,,,
TSB55062401,2,24V466,2024-06-20,2024361,2024-06-20,,,,
V1403,2,14V596,2014-09-26,2014421,2014-09-30,,,,
V2201,2,22V362,2022-05-20,2022265,2022-05-20,,,,
V2202,2,22V434,2022-06-17,2022324,2022-06-17,,,,
V2301,2,23V017,2023-01-23,2023017,2023-01-23,,,,
V2305,2,23V564,2023-08-10,2023444,2023-08-10,,,,
V2401,2,24V157,2024-02-28,2024134,2024-02-28,,,,
V2504,2,25V630,2025-09-19,2025493,2025-09-19,,,,
V2506,2,25V719,2025-10-22,2025577,2025-10-22,,,,
V2602,2,26V210,2026-04-01,2026158,2026-04-01,,,,
VFK3104,2,16V488,2016-06-30,2016332,2016-06-28,,,,
VMV0103,2,25V128,2025-03-19,2025101,2025-02-28,,,,
VPAC291,2,24V369,2024-05-24,2024293,2024-05-24,,,,
VS3LE54ELE,2,22V491,2022-07-11,,,A12/00564/22,15/04/2022,Germany,https://ec.europa.eu/safety-gate-alerts/screen/webReport/alertDetail/10005905
WAY107,2,26V342,2026-05-27,2026254,2026-05-26,,,,
WQN50,2,14V577,2014-09-19,2014413,2014-09-22,,,,
WQQ52,2,14V830,2014-12-31,2014586,2014-12-22,,,,
WQR53,2,15V323,2015-05-28,2015234,2015-05-28,,,,
WQS54,2,15V366,2015-06-12,2015249,2015-06-04,,,,
WQT55,2,15V419,2015-07-01,2015285,2015-06-26,,,,
WQU56,2,15V502,2015-08-10,2015358,2015-08-06,,,,
WQV57,2,15V794,2015-11-24,2015555,2015-11-23,,,,
WRA23,2,23V016,2023-01-23,2023015,2023-01-20,,,,
WRA24,2,24V227,2024-03-22,2024190,2024-03-22,,,,
WRB25,2,25V033,2025-01-23,2025032,2025-01-23,,,,
WRC25,2,25V419,2025-06-19,2025344,2025-06-20,,,,
WRD23,2,23V080,2023-02-14,2023062,2023-02-14,,,,
WRD25,2,25V577,2025-09-04,2025456,2025-09-04,,,,
WRD26,2,26V106,2026-02-23,2026077,2026-02-20,,,,
WRE22,2,22V522,2022-07-21,2022394,2022-07-21,,,,
WRE25,2,25V744,2025-10-30,2025601,2025-10-31,,,,
WRG22,2,22V624,2022-08-12,2022538,2022-09-23,,,,
WRH23,2,23V258,2023-04-07,2023211,2023-04-10,,,,
WRH26,2,26V436,,2026329,2026-07-07,,,,
WRI23,2,23V292,2023-04-25,2023249,2023-04-25,,,,
WRL22,2,22V907,2022-12-08,2022703,2022-12-08,,,,
WRL23,2,23V551,2023-08-04,2023435,2023-08-04,,,,
WRM23,2,23V609,2023-08-31,2023485,2023-08-31,,,,
WRN23,2,23V647,2023-09-21,2023521,2023-09-21,,,,
WRP23,2,23V754,2023-11-09,2023606,2023-11-09,,,,
WRQ23,2,23V755,2023-11-09,2023607,2023-11-09,,,,
WTA62,2,16V162,2016-03-21,2016122,2016-03-17,,,,
WTD65,2,16V292,2016-05-11,2016207,2016-05-11,,,,
WTK71,2,16V694,2016-09-27,2016471,2016-09-26,,,,
WTL72,2,16V716,2016-10-06,2016487,2016-10-06,,,,
WTM73,2,16V738,2016-10-13,2016492,2016-10-07,,,,
Z2005,2,,,2020331,2020-07-20,A12/01107/20,31/07/2020,United Kingdom,https://ec.europa.eu/safety-gate-alerts/screen/webReport/alertDetail/10001688
Z2007,2,,,2020469,2020-10-07,A12/01551/20,20/11/2020,United Kingdom,https://ec.europa.eu/safety-gate-alerts/screen/webReport/alertDetail/10002340
Z2401,2,,,2024454,2024-08-08,SR/01064/25,21/03/2025,Germany,https://ec.europa.eu/safety-gate-alerts/screen/webReport/alertDetail/10093629
